DEBUG [nes] Loaded rom:"nestest.nes"
INFO [nes::cpu] C8D8  10 09     BPL A:E8 X:00 Y:00 P:BD SP:FB
INFO [nes::cpu] C8DA  C9 E8     CMP A:E8 X:00 Y:00 P:BD SP:FB
INFO [nes::cpu] C8DC  D0 05     BNE A:E8 X:00 Y:00 P:3F SP:FB
INFO [nes::cpu] C8DE  70 03     BVS A:E8 X:00 Y:00 P:3F SP:FB
INFO [nes::cpu] C8E0  4C E7     JMP A:E8 X:00 Y:00 P:3F SP:FB
INFO [nes::cpu] C8E7  EA 18     NOP A:E8 X:00 Y:00 P:3F SP:FB
INFO [nes::cpu] C8E8  18 24     CLC A:E8 X:00 Y:00 P:3F SP:FB
INFO [nes::cpu] C8E9  24 01     BIT A:E8 X:00 Y:00 P:3E SP:FB
INFO [nes::cpu] C8EB  A9 5F     LDA A:E8 X:00 Y:00 P:FC SP:FB
INFO [nes::cpu] C8ED  49 AA     EOR A:5F X:00 Y:00 P:7C SP:FB
INFO [nes::cpu] C8EF  B0 0B     BCS A:F5 X:00 Y:00 P:FC SP:FB
INFO [nes::cpu] C8F1  10 09     BPL A:F5 X:00 Y:00 P:FC SP:FB
INFO [nes::cpu] C8F3  C9 F5     CMP A:F5 X:00 Y:00 P:FC SP:FB
INFO [nes::cpu] C8F5  D0 05     BNE A:F5 X:00 Y:00 P:7F SP:FB
INFO [nes::cpu] C8F7  50 03     BVC A:F5 X:00 Y:00 P:7F SP:FB
INFO [nes::cpu] C8F9  4C 00     JMP A:F5 X:00 Y:00 P:7F SP:FB
INFO [nes::cpu] C900  EA 38     NOP A:F5 X:00 Y:00 P:7F SP:FB
INFO [nes::cpu] C901  38 B8     SEC A:F5 X:00 Y:00 P:7F SP:FB
INFO [nes::cpu] C902  B8 A9     CLV A:F5 X:00 Y:00 P:7F SP:FB
INFO [nes::cpu] C903  A9 70     LDA A:F5 X:00 Y:00 P:3F SP:FB
INFO [nes::cpu] C905  49 70     EOR A:70 X:00 Y:00 P:3D SP:FB
INFO [nes::cpu] C907  D0 09     BNE A:00 X:00 Y:00 P:3F SP:FB
INFO [nes::cpu] C909  70 07     BVS A:00 X:00 Y:00 P:3F SP:FB
INFO [nes::cpu] C90B  90 05     BCC A:00 X:00 Y:00 P:3F SP:FB
INFO [nes::cpu] C90D  30 03     BMI A:00 X:00 Y:00 P:3F SP:FB
INFO [nes::cpu] C90F  4C 16     JMP A:00 X:00 Y:00 P:3F SP:FB
INFO [nes::cpu] C916  EA 18     NOP A:00 X:00 Y:00 P:3F SP:FB
INFO [nes::cpu] C917  18 24     CLC A:00 X:00 Y:00 P:3F SP:FB
INFO [nes::cpu] C918  24 01     BIT A:00 X:00 Y:00 P:3E SP:FB
INFO [nes::cpu] C91A  A9 00     LDA A:00 X:00 Y:00 P:FE SP:FB
INFO [nes::cpu] C91C  69 69     ADC A:00 X:00 Y:00 P:7E SP:FB
INFO [nes::cpu] C91E  30 0B     BMI A:69 X:00 Y:00 P:3C SP:FB
INFO [nes::cpu] C920  B0 09     BCS A:69 X:00 Y:00 P:3C SP:FB
INFO [nes::cpu] C922  C9 69     CMP A:69 X:00 Y:00 P:3C SP:FB
INFO [nes::cpu] C924  D0 05     BNE A:69 X:00 Y:00 P:3F SP:FB
INFO [nes::cpu] C926  70 03     BVS A:69 X:00 Y:00 P:3F SP:FB
INFO [nes::cpu] C928  4C 2F     JMP A:69 X:00 Y:00 P:3F SP:FB
INFO [nes::cpu] C92F  EA 38     NOP A:69 X:00 Y:00 P:3F SP:FB
INFO [nes::cpu] C930  38 F8     SEC A:69 X:00 Y:00 P:3F SP:FB
INFO [nes::cpu] C931  F8 24     SED A:69 X:00 Y:00 P:3F SP:FB
INFO [nes::cpu] C932  24 01     BIT A:69 X:00 Y:00 P:3F SP:FB
INFO [nes::cpu] C934  A9 01     LDA A:69 X:00 Y:00 P:FD SP:FB
INFO [nes::cpu] C936  69 69     ADC A:01 X:00 Y:00 P:7D SP:FB
INFO [nes::cpu] C938  30 0B     BMI A:6B X:00 Y:00 P:3C SP:FB
INFO [nes::cpu] C93A  B0 09     BCS A:6B X:00 Y:00 P:3C SP:FB
INFO [nes::cpu] C93C  C9 6B     CMP A:6B X:00 Y:00 P:3C SP:FB
INFO [nes::cpu] C93E  D0 05     BNE A:6B X:00 Y:00 P:3F SP:FB
INFO [nes::cpu] C940  70 03     BVS A:6B X:00 Y:00 P:3F SP:FB
INFO [nes::cpu] C942  4C 49     JMP A:6B X:00 Y:00 P:3F SP:FB
INFO [nes::cpu] C949  EA D8     NOP A:6B X:00 Y:00 P:3F SP:FB
INFO [nes::cpu] C94A  D8 38     CLD A:6B X:00 Y:00 P:3F SP:FB
INFO [nes::cpu] C94B  38 B8     SEC A:6B X:00 Y:00 P:37 SP:FB
INFO [nes::cpu] C94C  B8 A9     CLV A:6B X:00 Y:00 P:37 SP:FB
INFO [nes::cpu] C94D  A9 7F     LDA A:6B X:00 Y:00 P:37 SP:FB
INFO [nes::cpu] C94F  69 7F     ADC A:7F X:00 Y:00 P:35 SP:FB
INFO [nes::cpu] C951  10 0B     BPL A:FF X:00 Y:00 P:F4 SP:FB
INFO [nes::cpu] C953  B0 09     BCS A:FF X:00 Y:00 P:F4 SP:FB
INFO [nes::cpu] C955  C9 FF     CMP A:FF X:00 Y:00 P:F4 SP:FB
INFO [nes::cpu] C957  D0 05     BNE A:FF X:00 Y:00 P:77 SP:FB
INFO [nes::cpu] C959  50 03     BVC A:FF X:00 Y:00 P:77 SP:FB
INFO [nes::cpu] C95B  4C 62     JMP A:FF X:00 Y:00 P:77 SP:FB
INFO [nes::cpu] C962  EA 18     NOP A:FF X:00 Y:00 P:77 SP:FB
INFO [nes::cpu] C963  18 24     CLC A:FF X:00 Y:00 P:77 SP:FB
INFO [nes::cpu] C964  24 01     BIT A:FF X:00 Y:00 P:76 SP:FB
INFO [nes::cpu] C966  A9 7F     LDA A:FF X:00 Y:00 P:F4 SP:FB
INFO [nes::cpu] C968  69 80     ADC A:7F X:00 Y:00 P:74 SP:FB
INFO [nes::cpu] C96A  10 0B     BPL A:FF X:00 Y:00 P:B4 SP:FB
