[2019-11-04 16:48:37.145880 +01:00] INFO [src\cpu.rs:335] 00EA  0 00     BRK A:00 X:00 Y:00 P:36 SP:8B
[2019-11-04 16:48:37.145880 +01:00] INFO [src\cpu.rs:335] C5F5  A2 00     LDX A:00 X:00 Y:00 P:36 SP:89
[2019-11-04 16:48:37.145880 +01:00] INFO [src\cpu.rs:335] C5F7  86 00     STX A:00 X:00 Y:00 P:36 SP:89
[2019-11-04 16:48:37.145880 +01:00] INFO [src\cpu.rs:335] C5F9  86 10     STX A:00 X:00 Y:00 P:36 SP:89
[2019-11-04 16:48:37.146880 +01:00] INFO [src\cpu.rs:335] C5FB  86 11     STX A:00 X:00 Y:00 P:36 SP:89
[2019-11-04 16:48:37.146880 +01:00] INFO [src\cpu.rs:335] C5FD  20 2D     JSR A:00 X:00 Y:00 P:36 SP:89
[2019-11-04 16:48:37.146880 +01:00] INFO [src\cpu.rs:335] 00EA  0 00     BRK A:00 X:00 Y:00 P:36 SP:87
[2019-11-04 16:48:37.146880 +01:00] INFO [src\cpu.rs:335] C5F5  A2 00     LDX A:00 X:00 Y:00 P:36 SP:85
[2019-11-04 16:48:37.146880 +01:00] INFO [src\cpu.rs:335] C5F7  86 00     STX A:00 X:00 Y:00 P:36 SP:85
[2019-11-04 16:48:37.146880 +01:00] INFO [src\cpu.rs:335] C5F9  86 10     STX A:00 X:00 Y:00 P:36 SP:85
[2019-11-04 16:48:37.146880 +01:00] INFO [src\cpu.rs:335] C5FB  86 11     STX A:00 X:00 Y:00 P:36 SP:85
[2019-11-04 16:48:37.146880 +01:00] INFO [src\cpu.rs:335] C5FD  20 2D     JSR A:00 X:00 Y:00 P:36 SP:85
[2019-11-04 16:48:37.146880 +01:00] INFO [src\cpu.rs:335] 00EA  0 00     BRK A:00 X:00 Y:00 P:36 SP:83
[2019-11-04 16:48:37.146880 +01:00] INFO [src\cpu.rs:335] C5F5  A2 00     LDX A:00 X:00 Y:00 P:36 SP:81
[2019-11-04 16:48:37.146880 +01:00] INFO [src\cpu.rs:335] C5F7  86 00     STX A:00 X:00 Y:00 P:36 SP:81
[2019-11-04 16:48:37.146880 +01:00] INFO [src\cpu.rs:335] C5F9  86 10     STX A:00 X:00 Y:00 P:36 SP:81
[2019-11-04 16:48:37.146880 +01:00] INFO [src\cpu.rs:335] C5FB  86 11     STX A:00 X:00 Y:00 P:36 SP:81
[2019-11-04 16:48:37.146880 +01:00] INFO [src\cpu.rs:335] C5FD  20 2D     JSR A:00 X:00 Y:00 P:36 SP:81
[2019-11-04 16:48:37.146880 +01:00] INFO [src\cpu.rs:335] 00EA  0 00     BRK A:00 X:00 Y:00 P:36 SP:7F
[2019-11-04 16:48:37.147880 +01:00] INFO [src\cpu.rs:335] C5F5  A2 00     LDX A:00 X:00 Y:00 P:36 SP:7D
[2019-11-04 16:48:37.147880 +01:00] INFO [src\cpu.rs:335] C5F7  86 00     STX A:00 X:00 Y:00 P:36 SP:7D
